                         from.gene                        to.gene          im
59                   fabZ_b0180_at                  yfjD_b2613_at 0.006009509
60                 valY_b2403_s_at                  atoC_b2220_at 0.005996961
61                   mltA_b2813_at                  ycbW_b0946_at 0.005995548
62                   ogrK_b2082_at                  ykgG_b0308_at 0.005987910
63                   yhhY_b3441_at                   lit_b1139_at 0.005986249
64                   yggA_b2923_at                  ycdZ_b1036_at 0.005985990
65              SYNPBR322_tet_w_at                  malG_b4032_at 0.005984899
66                   dadX_b1190_at                       b2294_at 0.005966532
67                    pgi_b4025_at                  otsB_b1897_at 0.005962298
68                   rpsE_b3303_at                  nadR_b4390_at 0.005960226
69                   iclR_b4018_at                  xerC_b3811_at 0.005958288
70                   hcaT_b2536_at                  uvrD_b3813_at 0.005957137
71                   thrU_b3976_at                       b1645_at 0.005953883
72                   rfaY_b3625_at                  uraA_b2497_at 0.005948799
73                   holE_b1842_at                  yejA_b2177_at 0.005908383
74                    INM13X_IV_at                       b1624_at 0.005905029
75                   yhjG_b3524_at                LAMCG_ea31_c_at 0.005899384
76                  bax_b3570_f_at                  caiF_b0034_at 0.005884446
77                   ybcW_b0559_at                  ymfJ_b1144_at 0.005872644
78                   fixX_b0044_at                       b1213_at 0.005860208
79                   folE_b2153_at                       b1674_at 0.005854227
80                   amiA_b2435_at                  pstB_b3725_at 0.005851208
81                   yjfO_b4189_at                  ccmH_b2194_at 0.005847709
82                   fumB_b4122_at                  glyU_b2864_at 0.005842815
83                 gltU_b3757_s_at                  yahN_b0328_at 0.005838560
84                   yjbN_b4049_at                leuT_b3798_s_at 0.005837956
85                    ndk_b2518_at                  phoQ_b1129_at 0.005836555
86                        b2636_at                  ygjU_b3089_at 0.005832033
87                        b2475_at                  putA_b1014_at 0.005816608
88                   dsbG_b0604_at                       b1441_at 0.005815875
89                   dedA_b2317_at                  grpE_b2614_at 0.005808274
90                   kefC_b0047_at                  metJ_b3938_at 0.005806788
91                   ydcG_b1424_at                  modE_b0761_at 0.005801352
92                        b1192_at                  trpB_b1261_at 0.005788851
93                   ynhC_b1681_at                  ubiH_b2907_at 0.005786866
94                   trpS_b3384_at                  tnaB_b3709_at 0.005781448
95                   fucI_b2802_at                  galK_b0757_at 0.005772254
96                   ydbK_b1378_at                  yhjG_b3524_at 0.005768364
97                   yphA_b2543_at                  recB_b2820_at 0.005764110
98                   katE_b1732_at                  wrbA_b1004_at 0.005761748
99  IG_1721_2765013_2765055_fwd_at                 INM13X_II_3_at 0.005761484
100                   tag_b3549_at                   INM13X_IV_at 0.005760457
